title,release_year,imdb_id,imdb_score
Don't Knock Twice,2016,tt3622110,5.1
Don't Look Down,2016,tt6039512,7.1
Don't Think Twice,2016,tt4972062,6.7
Doob: No Bed of Roses,2017,tt5513920,6.1
Doom,2005,tt0419706,5.2
Doom: Annihilation,2019,tt8328716,3.8
Doomsday Preppers,2013,N/A_Not_Found,N/A_Not_Found
Door Ke Darshan,2020,N/A_Not_Found,N/A_Not_Found
Dope,2019,tt11215112,6.5
Dorasaani,2019,N/A_Not_Found,N/A_Not_Found
Dorohedoro,2020,tt11147852,8.0
Dostana,2008,tt1185420,6.4
DOTA: Dragon's Blood,2021,tt14069590,7.7
Double Dad,2020,N/A_Not_Found,N/A_Not_Found
Double Jeopardy,1999,tt0150377,6.5
Double World,2020,tt10508838,6.1
Doubles Cause Troubles,1989,tt0098313,5.3
Doubt,2008,tt0918927,7.5
Dovlatov,2018,tt7763020,6.4
Down The Fence,2017,tt6277748,8.0
Down to Earth with Zac Efron,2020,tt12585152,8.0
Downton Abbey,2015,tt5109000,7.5
Dr Jason Leong Hashtag Blessed,2018,N/A_Not_Found,N/A_Not_Found
Dr. Seuss' The Cat in the Hat,2003,N/A_Not_Found,N/A_Not_Found
Dr. Seuss' The Grinch,2018,N/A_Not_Found,N/A_Not_Found
Dr. Seuss' The Lorax,2012,N/A_Not_Found,N/A_Not_Found
Dracula,2020,tt9139220,6.8
DRAGON PILOT: Hisone & Masotan,2018,N/A_Not_Found,N/A_Not_Found
Dragon Quest Your Story,2019,tt10127562,6.5
Dragon Tiger Gate,2006,tt0482930,6.1
Dragonheart,1996,tt0116136,6.4
Dragonheart 3: The Sorcerer,2015,N/A_Not_Found,N/A_Not_Found
Dragonheart: A New Beginning,2000,tt0214641,4.6
Dragonheart: Battle for the Heartfire,2017,tt5610626,5.3
Dragonheart: Vengeance,2020,tt9711106,5.3
Dragonkala Ka Rahasya,2018,N/A_Not_Found,N/A_Not_Found
Dragon's Dogma,2020,tt10011298,6.2
Dragons: Dawn of the Dragon Racers,2014,tt4191768,7.0
Dragons: Race to the Edge,2018,N/A_Not_Found,N/A_Not_Found
Dragons: Rescue Riders,2020,tt12599350,5.1
Dragons: Rescue Riders: Hunt for the Golden Dragon,2020,tt11875456,5.4
Dragons: Rescue Riders: Huttsgalor Holiday,2020,tt13353508,5.8
Dragons: Rescue Riders: Secrets of the Songwing,2020,tt12599350,5.1
Dramaworld,2016,tt5468694,7.3
Dream Big: Engineering Our World,2017,tt6484086,6.4
Dream Boat,2017,tt6627466,5.4
Dream Home Makeover,2021,N/A_Not_Found,N/A_Not_Found
Dream/Killer,2015,tt4504438,7.4
DreamWorks Happy Holidays from Madagascar,2005,tt6929194,6.8
DreamWorks Holiday Classics,2011,tt6979738,6.5
DreamWorks Home: For the Holidays,2017,N/A_Not_Found,N/A_Not_Found
DreamWorks How to Train Your Dragon Legends,2011,N/A_Not_Found,N/A_Not_Found
DreamWorks Kung Fu Panda Awesome Secrets,2008,tt6963796,6.4
DreamWorks Shrek's Swamp Stories,2008,N/A_Not_Found,N/A_Not_Found
DreamWorks Spooky Stories,2009,tt6958564,5.7
DreamWorks Spooky Stories: Volume 2,2011,N/A_Not_Found,N/A_Not_Found
Dreamy Eyes,2019,tt10622410,6.9
Dries,2017,tt6802360,6.8
DRIFTING DRAGONS,2020,tt11418344,6.1
Drink Drank Drunk,2016,tt6899800,4.1
Drishyam,2015,tt4430212,8.2
Drive,2019,tt6593054,3.2
Driven to Dance,2018,tt6974888,4.7
Droppin' Cash: Los Angeles,2019,N/A_Not_Found,N/A_Not_Found
Drug Lords,2018,tt7935522,6.8
Drug Squad: Costa del Sol,2019,tt8476166,6.7
"Drugs, Inc.",2015,N/A_Not_Found,N/A_Not_Found
Drunk Parents,2019,tt5037840,4.0
Dry Martina,2018,tt6312802,5.8
DTC Yukemuri Junjo Hen From High & Low,2018,N/A_Not_Found,N/A_Not_Found
Duck Butter,2018,tt6958014,5.2
Duck Duck Goose,2018,tt4940416,5.8
Dude,2018,tt3458510,5.1
Due Date,2010,tt1231583,6.5
Dueños del paraíso,2015,tt3975034,6.8
Düğün Dernek,2013,tt3347976,6.9
Dügün Dernek 2: Sünnet,2015,tt5114588,6.3
Dukhtar,2014,tt3175888,6.9
Dum,2003,tt0314006,5.7
Dumb and Dumberer: When Harry Met Lloyd,2003,tt0329028,3.5
Dumplin',2018,tt4878482,6.5
Duniya,1984,tt0301231,6.3
Duplicate,1998,tt0164550,5.5
Durarara!!,2016,N/A_Not_Found,N/A_Not_Found
Dushman,2017,tt6268302,5.4
Dying to Tell,2018,tt5900870,6.8
Dynasty,2019,tt9680630,5.9
Dynasty Warriors,2021,tt7587604,4.8
Earth and Blood,2020,tt10092752,5.2
Earth to Echo,2014,tt2183034,5.7
Earth to Luna!,2014,tt6428704,7.9
Earthquake Bird,2019,tt8178486,6.0
Earth's Natural Wonders,2015,tt4483562,7.6
Earth's Natural Wonders: Life at the Extremes,2018,N/A_Not_Found,N/A_Not_Found
East Side Sushi,2015,N/A_Not_Found,N/A_Not_Found
Eastsiders,2018,N/A_Not_Found,N/A_Not_Found
Easy,2019,tt11668034,N/A
Easy A,2010,tt1282140,7.0
Easy Fortune Happy Life,2009,N/A_Not_Found,N/A_Not_Found
Eat Pray Love,2010,tt0879870,5.9
Echcharikkai,2018,N/A_Not_Found,N/A_Not_Found
Echo in the Canyon,2019,N/A_Not_Found,N/A_Not_Found
E-Cigarettes: Miracle or Menace?,2016,N/A_Not_Found,N/A_Not_Found
Eddie - Strongman,2015,tt4334636,7.4
Eddie Murphy: Delirious,1983,tt0085474,8.1
Eddie Murphy: Raw,1987,tt0092948,7.6
Eden,2021,tt10545250,6.6
EDENS ZERO,2021,tt13167196,7.1
Edgar Rice Burroughs' Tarzan and Jane,2018,N/A_Not_Found,N/A_Not_Found
Edge of Fear,2018,tt7149916,4.5
Edge of Seventeen,1998,tt0138414,6.8
Edge of the Universe,2008,tt1363109,8.4
Edha,2018,tt7956274,4.9
"Edmilson Filho: Notas, Comedy about Relationships",2017,N/A_Not_Found,N/A_Not_Found
Edoardo Ferrario: Temi Caldi,2019,tt9861498,6.6
Ee Nagaraniki Emaindi,2018,tt8490894,8.0
Eeb Allay Ooo!,2019,tt9343754,7.2
Eeda,2018,tt7477108,7.1
Eerie,2019,tt10962002,N/A
Effie Gray,2014,tt1605798,6.0
Ég man þig,2017,N/A_Not_Found,N/A_Not_Found
Eggnoid: Love & Time Portal,2019,tt10640262,6.1
Eh Janam Tumhare Lekhe,2015,tt4280824,8.6
Einsatzgruppen: The Nazi Death Squads,2009,N/A_Not_Found,N/A_Not_Found
Either Me Or My Auntie,2006,N/A_Not_Found,N/A_Not_Found
Ek Cup Chya,2009,tt3368378,7.6
Ek Hasina Thi,2004,tt0352314,7.5
Ek Jaan Hain Hum,1983,tt0379272,6.5
Ek Khiladi Ek Haseena,2005,tt0461209,5.7
Ek Ladki Ko Dekha Toh Aisa Laga,2019,tt8108164,5.6
Ek Main Aur Ekk Tu,2012,tt1703958,5.8
Ekşi Elmalar,2016,N/A_Not_Found,N/A_Not_Found
El Barco,2013,N/A_Not_Found,N/A_Not_Found
El Camino Christmas,2017,tt3255590,5.7
El Camino: A Breaking Bad Movie,2019,tt11151792,7.1
El Cartel,2008,tt1260520,7.9
El Cartel 2,2010,tt1667724,6.7
El Chapo,2018,N/A_Not_Found,N/A_Not_Found
El Chavo,1979,N/A_Not_Found,N/A_Not_Found
El Che,2017,tt13281426,6.0
El Chema,2016,tt5730624,6.9
El Clon,2010,N/A_Not_Found,N/A_Not_Found
El club de los buenos infieles,2018,N/A_Not_Found,N/A_Not_Found
El club de los insomnes,2018,tt6719840,6.3
El desconocido,2019,N/A_Not_Found,N/A_Not_Found
El Dragón: Return of a Warrior,2020,N/A_Not_Found,N/A_Not_Found
"El Especial de Alex Fernández, el Especial",2017,tt7520228,6.7
El fin de ETA,2017,N/A_Not_Found,N/A_Not_Found
El final del paraíso,2019,tt10367818,5.0
El límite infinito,2020,tt13239776,8.6
El Marginal,2019,N/A_Not_Found,N/A_Not_Found
"El patrón, radiografía de un crimen",2014,N/A_Not_Found,N/A_Not_Found
"El Pepe, a Supreme Life",2018,tt8900434,7.1
El Potro: Unstoppable,2018,N/A_Not_Found,N/A_Not_Found
El Reemplazante,2013,N/A_Not_Found,N/A_Not_Found
El sendero de la anaconda,2019,tt10577906,6.6
El señor de los Cielos,2019,N/A_Not_Found,N/A_Not_Found
El silencio es bienvenido,2017,tt6436212,5.0
El testigo,2018,tt9149838,8.1
El último testigo,2012,N/A_Not_Found,N/A_Not_Found
El Vato,2017,N/A_Not_Found,N/A_Not_Found
El Viaje: Márama y Rombai,2016,N/A_Not_Found,N/A_Not_Found
Elaan,1971,tt0367695,6.0
Elena,2012,tt2475154,7.5
Elephants Dream 4 Hour,2006,N/A_Not_Found,N/A_Not_Found
Elevator Baby,2019,tt11005162,5.5
Elf Pets: A Fox Cub’s Christmas Tale,2020,N/A_Not_Found,N/A_Not_Found
Elf Pets: Santa’s Reindeer Rescue,2020,tt13020758,4.3
Eli,2019,tt5294518,5.8
Elisa & Marcela,2019,tt6704898,6.6
Elite,2021,tt16444502,6.6
Elite Short Stories: Carla Samuel,2021,tt14675560,6.8
Elite Short Stories: Guzmán Caye Rebe,2021,tt14668192,7.4
Elite Short Stories: Nadia Guzmán,2021,tt14671790,6.2
Elite Short Stories: Omar Ander Alexis,2021,tt14676004,7.2
Elizabeth and Margaret: Love and Loyalty,2020,tt14160744,7.5
Elizabeth at 90: A Family Tribute,2016,tt5656876,7.9
Elizabeth Harvest,2019,N/A_Not_Found,N/A_Not_Found
Elize Matsunaga: Once Upon a Crime,2021,tt14856998,5.9
El-Khawaga's Dilemma,2018,N/A_Not_Found,N/A_Not_Found
Ellen DeGeneres: Relatable,2018,tt7157574,6.5
Elles étaient en guerre (1914-1918),2014,tt4180082,N/A
Elles étaient en guerre 1939-1945,2015,N/A_Not_Found,N/A_Not_Found
Elles ont toutes une histoire,2016,tt12679522,6.2
Elliot the Littlest Reindeer,2018,tt4177856,5.0
Elstree 1976,2015,tt4558042,5.9
Emelie,2016,tt6048712,N/A
EMI: Liya Hai To Chukana Padega,2008,tt1221133,4.4
Emicida: AmarElo - It’s All For Yesterday,2020,tt13458600,8.5
Emicida: AmarElo - Live in São Paulo,2021,tt14910946,N/A
Emily in Paris,2020,tt8962124,6.8
Emily's Wonder Lab,2020,tt10687464,8.7
Emma' (Mother),2016,tt5935682,7.0
Emo the Musical,2016,tt5460068,6.0
Emogenius,2017,tt7062438,4.0
Empire Games,2018,tt8171234,5.9
Empire of Scents,2014,N/A_Not_Found,N/A_Not_Found
Employee of the Month,2006,tt0424993,5.6
Encerrados,2018,tt9298674,7.0
Encounter: The Killing,2002,tt0375733,6.2
Encounters with Evil,2016,tt10026844,6.7
End Game,2018,tt7879350,7.2
End of Watch,2012,tt1855199,7.6
Enemigo íntimo,2018,tt7632608,7.0
Enemy,2013,tt2316411,6.9
Engineering Girls,2018,tt8502324,6.8
English Babu Desi Mem,1996,tt0136153,4.6
Enissa Amani: Ehrenwort,2018,tt8328418,5.6
Enlighten Us,2016,tt5241010,6.2
Enola Holmes,2020,tt7846844,6.6
Entangled,2014,tt4023856,7.6
Entanglement,2018,tt7239034,N/A
Enter the Anime,2019,tt10662450,2.6
Enter the Dragon,1973,tt0070034,7.6
Enter the Warriors Gate,2016,tt4652532,5.4
Episodes,2017,tt10533142,N/A
Equals,2015,tt3289728,6.0
Equestria Girls: Tales of Canterlot High,2017,tt13160278,9.3
Equilibrium,2002,tt0238380,7.3
Equinox,2020,tt10973800,6.1
Erased,2016,tt5249462,8.4
Eric Andre: Legalize Everything,2020,tt12327104,6.2
Eric ldle's What About Dick?,2012,N/A_Not_Found,N/A_Not_Found
Errementari: The Blacksmith and the Devil,2018,N/A_Not_Found,N/A_Not_Found
Escape from Mr. Lemoncello’s Library,2017,tt5878476,5.3
Escape from Planet Earth,2013,N/A_Not_Found,N/A_Not_Found
"Escape from the ""Liberty"" Cinema",1990,tt0103150,7.1
Escaping Tel Aviv,2009,tt1650844,7.3
Especial 20 años Fútbol de Primera,2020,N/A_Not_Found,N/A_Not_Found
Esperando la carroza,1985,N/A_Not_Found,N/A_Not_Found
Estar o no estar,2016,N/A_Not_Found,N/A_Not_Found
E-Team,2014,tt3456090,7.1
Eternal Love,2017,tt6488862,8.3
Ethirmarai,2018,tt5725010,5.2
Ethos,2020,tt11301642,8.4
Eugenie Nights,2018,tt8409796,7.4
Euphoria,2018,tt7779590,6.5
Europe's Most Dangerous Man: Otto Skorzeny in Spain,2020,N/A_Not_Found,N/A_Not_Found
Eurovision Song Contest,2019,tt10263466,7.2
Eurovision Song Contest: The Story of Fire Saga,2020,tt8580274,6.5
Evan Almighty,2007,tt0413099,5.4
EVANGELION: DEATH (TRUE)²,1998,tt28717062,6.5
Evelyn,2019,tt9252244,N/A
Even the Rain,2010,tt1422032,7.4
Evening Shadows,2018,tt6028796,7.2
Event Horizon,1997,tt0119081,6.6
Ever After High,2016,tt5878262,7.4
Every Time I Die,2019,tt6659936,5.2
Everybody Knows,2019,N/A_Not_Found,N/A_Not_Found
Everyday I Love You,2015,tt4944460,7.0
Everyday Miracles,2014,tt4073812,7.4
Everything About Her,2016,tt3860092,7.1
Everything Sucks!,2018,tt7078710,7.4
Everything Will Be Fine,2021,tt15101964,6.3
Eve's Apple,2017,N/A_Not_Found,N/A_Not_Found
Evil,2019,tt9055008,7.7
Evil Genius,2018,tt8342862,7.5
Evolution,2001,tt0251075,6.1
Evvarikee Cheppoddu,2019,tt10081202,7.1
Ex Machina,2015,tt5262674,7.1
Examination of Conscience,2019,tt9584024,7.7
Ex-Boyfriend,2011,tt3983110,N/A
Exclusive Edition,2008,N/A_Not_Found,N/A_Not_Found
Executive Decision,1996,tt0116253,6.5
Exes Baggage,2018,tt8835552,6.5
Exhibit A,2019,tt10376904,6.3
Exit Afghanistan,2013,tt3218890,6.2
Exit Strategy,2012,tt1723123,3.2
Exit Wounds,2001,tt0242445,5.6
Expedition China,2017,tt8064392,6.6
Expedition Happiness,2017,tt6688136,5.9
Expelled from Paradise,2014,tt2859246,6.6
Explained,2021,tt14492910,7.0
Expo,2019,tt6830716,2.6
Extinction,2018,tt3201640,5.8
Extraction,2015,tt4382872,4.1
Extracurricular,2020,tt10262630,7.6
Extras,2006,N/A_Not_Found,N/A_Not_Found
Extreme Engagement,2019,tt10521644,5.7
"Extremely Wicked, Shockingly Evil and Vile",2019,tt2481498,6.7
Extremis,2016,tt5538078,7.2
Eye For An Eye,2019,tt7967412,6.6
Eyes of a Thief,2014,tt2993406,6.5
Eyyvah Eyyvah,2010,N/A_Not_Found,N/A_Not_Found
Eyyvah Eyyvah 2,2011,N/A_Not_Found,N/A_Not_Found
Eyyvah Eyyvah 3,2014,N/A_Not_Found,N/A_Not_Found
Ezel,2009,tt1534360,8.6
F is for Family,2020,N/A_Not_Found,N/A_Not_Found
F the Prom,2017,tt5612742,4.2
F.R.E.D.I.,2018,tt6146590,5.0
Fabrizio Copano: Solo pienso en mi,2017,tt8134310,4.8
Fabulous Lives of Bollywood Wives,2020,tt13452100,4.2
Face 2 Face,2017,N/A_Not_Found,N/A_Not_Found
Fadily Camara : La plus drôle de tes copines,2019,tt11168150,5.5
Fairy Tail,2009,tt1528406,7.9
"Faith, Hope & Love",2019,tt8310924,6.4
Fake or Fortune?,2015,N/A_Not_Found,N/A_Not_Found
Fakkah Fuzz: Almost Banned,2018,tt8507516,4.5
Fakta Ladh Mhana,2011,tt2130033,6.2
Fall Girls,2019,tt9033386,3.9
Fall in Love with Me,2014,tt6139710,7.1
Fallen,1998,tt0119099,7.0
Fallet,2017,tt6433844,6.8
Falling Inn Love,2019,tt9860728,5.7
Falsa identidad,2020,N/A_Not_Found,N/A_Not_Found
Falz Experience,2018,N/A_Not_Found,N/A_Not_Found
Familiar Wife,2018,tt8487786,7.6
Familiye,2017,tt5145414,6.4
Family Blood,2018,tt7895904,4.2
Family Business,2020,tt12518928,N/A
Family Reunion,2021,tt14777678,5.1
Famous in Ahmedabad,2015,tt5090740,7.6
Fan Girl,2020,tt11091664,6.6
Fan of Amoory,2018,tt9140904,5.0
Fanatic,2019,tt9088954,3.1
Fanatyk,2017,tt7786346,6.6
Fandry,2014,N/A_Not_Found,N/A_Not_Found
Fangbone,2016,N/A_Not_Found,N/A_Not_Found
Fantastic Fungi,2019,tt8258074,7.4
Fantastica,2018,tt9270416,3.6
Faraar,2015,tt4984868,5.4
Farce,2017,N/A_Not_Found,N/A_Not_Found
Fartsa,2015,tt4567218,6.7
Fary : Hexagone,2020,tt11823028,6.4
Fary Is the New Black,2018,tt8201924,6.0
Fashion,2008,tt0964516,6.9
Fast & Furious Spy Racers,2021,N/A_Not_Found,N/A_Not_Found
Fastest Car,2019,N/A_Not_Found,N/A_Not_Found
Fat Ballerina - David A. Arnold,2020,N/A_Not_Found,N/A_Not_Found
Fatal Affair,2020,tt11057594,4.6
Fatal Destiny,2016,tt29295858,N/A
Fate of Alakada,2020,tt11829884,5.0
Fate/Apocrypha,2017,tt6424454,6.6
Fate/EXTRA Last Encore,2018,tt7940468,5.4
Fate/Grand Order -First Order-,2016,tt6213810,5.8
Fate/stay night: Unlimited Blade Works,2015,N/A_Not_Found,N/A_Not_Found
Fate/Zero,2012,tt8806872,N/A
Fate: The Winx Saga,2021,tt8179402,6.8
Fate: The Winx Saga - The Afterparty,2021,tt14081914,6.4
Father Brown,2017,N/A_Not_Found,N/A_Not_Found
Father of the Year,2018,tt7256866,5.2
Father Soldier Son,2020,tt12187586,7.3
Fatherhood,2021,tt4733624,6.6
Fatima,2020,tt2197936,6.6
Fatma,2021,tt11961378,7.4
Fatso,2012,tt4659032,N/A
Fauda,2020,N/A_Not_Found,N/A_Not_Found
Fear and Loathing in Las Vegas,1998,tt0120669,7.5
Fear City: New York vs The Mafia,2020,tt12588372,7.1
Fear Files... Har Mod Pe Darr,2015,tt4815190,5.0
Fear Street Part 1: 1994,2021,N/A_Not_Found,N/A_Not_Found
Fear Street Part 2: 1978,2021,N/A_Not_Found,N/A_Not_Found
Fear Street Part 3: 1666,2021,N/A_Not_Found,N/A_Not_Found
Fearless,2020,tt8675288,5.0
Feb-09,2018,N/A_Not_Found,N/A_Not_Found
February 9,2018,N/A_Not_Found,N/A_Not_Found
Feel Good,2021,tt14600000,9.2
Feel Rich,2017,tt6285404,6.3
Feel the Beat,2020,tt10714856,6.3
Feels Like Ishq,2021,tt14163838,6.4
Felipe Esparza: Bad Decisions,2020,tt12875768,5.5
Felipe Esparza: They're Not Going to Laugh at You,2012,N/A_Not_Found,N/A_Not_Found
Felipe Neto: My Life Makes No Sense,2017,N/A_Not_Found,N/A_Not_Found
Felix Lobrecht: Hype,2020,tt13262150,5.9
Felon,2008,tt1117385,7.4
Feminists: What Were They Thinking?,2018,tt5419676,7.1
Feo pero sabroso,2018,N/A_Not_Found,N/A_Not_Found
Fernando Sanjiao: Hombre,2018,tt7607332,6.3
Ferrari Ki Sawaari,2012,tt2122340,6.4
Ferris Bueller's Day Off,1986,tt0091042,7.8
Ferry,2021,tt14217100,7.0
Fida,2004,tt0422236,5.4
Fiddler on the Roof,1971,tt0067093,8.0
Fierce,2020,tt11692986,5.5
Fifty,2015,tt5065500,6.0
Fifty Year Old Teenager,1996,tt30144854,N/A
Fifty: The Series,2018,N/A_Not_Found,N/A_Not_Found
Figaro Pho,2008,tt6999094,4.9
FIGHTWORLD,2018,tt9047526,7.5
Figures of Speech,2016,N/A_Not_Found,N/A_Not_Found
Filinta,2015,N/A_Not_Found,N/A_Not_Found
Filmworker,2017,tt6851066,7.4
Filosofi Kopi The Movie,2015,N/A_Not_Found,N/A_Not_Found
Final Account,2021,N/A_Not_Found,N/A_Not_Found
Final Destination,2000,tt0195714,6.7
Final Destination 2,2003,tt0309593,6.2
Final Destination 3,2006,tt0414982,5.9
FINAL FANTASY XIV Dad of Light,2017,tt6497076,7.1
Finally Found Someone,2017,tt7151438,5.8
Find Yourself,2020,tt11569628,7.5
Finding ‘Ohana,2021,tt10332588,6.1
Finding Agnes,2020,tt13328840,5.0
Finding Hubby,2020,tt13540496,4.5
Fire at Sea,2016,tt3652526,6.7
Fire Chasers,2017,tt7293754,6.6
Fire in Paradise,2019,tt11127056,7.4
Fire in the Blood,2012,N/A_Not_Found,N/A_Not_Found
Firebrand,2019,tt8852536,5.2
Firedrake the Silver Dragon,2021,N/A_Not_Found,N/A_Not_Found
Fireflies,2013,tt2375666,5.8
Firefly Lane,2021,tt9012876,7.7
Fireman Sam,2018,tt9081188,4.8
Fireplace 4K: Classic Crackling Fireplace from Fireplace for Your Home,2015,N/A_Not_Found,N/A_Not_Found
Fireplace 4K: Crackling Birchwood from Fireplace for Your Home,2015,N/A_Not_Found,N/A_Not_Found
Fireworks,2017,tt6317962,5.6
First and Last,2018,tt8893502,6.7
First Impression,2018,tt9203202,4.9
First Kill,2017,tt5884234,5.0
First Kiss,2018,tt8610996,3.9
First Love,2018,tt9060390,6.0
First Match,2018,tt6061074,6.4
First Team: Juventus,2018,tt7924812,7.2
First They Killed My Father,2017,tt4882376,7.2
FirstBorn,2016,tt4399590,4.8
Fisherman's Friends,2019,tt1648186,7.0
Fishpeople,2017,tt12030516,7.5
Fishtail,2015,N/A_Not_Found,N/A_Not_Found
Fishtronaut: The Movie,2018,N/A_Not_Found,N/A_Not_Found
Fit for Fashion,2015,N/A_Not_Found,N/A_Not_Found
Fitoor,2016,tt4399594,5.4
Fittest in Dubai,2019,tt10613550,6.1
Five Came Back,2017,tt6587094,8.2
Five Came Back: The Reference Films,1945,N/A_Not_Found,N/A_Not_Found
Five Elements Ninjas,1982,tt0084921,7.2
Five Feet Apart,2019,tt6472976,7.2
Five Nights in Maine,2015,tt3352034,4.9
Fix It and Finish It,2014,N/A_Not_Found,N/A_Not_Found
Fiza,2000,tt0248012,6.0
Flaked,2017,N/A_Not_Found,N/A_Not_Found
Flash of Genius,2008,tt1054588,7.0
Flavorful Origins,2020,N/A_Not_Found,N/A_Not_Found
Flavors of Youth: International Version,2018,N/A_Not_Found,N/A_Not_Found
Flimflam,2016,tt5999382,5.5
Flinch,2019,tt9196244,4.3
Flint Town,2018,tt8004578,7.8
Flipped,2010,tt0817177,7.7
Flock of Four,2018,N/A_Not_Found,N/A_Not_Found
Floor Is Lava,2020,tt12370124,5.4
Flower Girl,2013,tt2662230,6.5
Flowering Heart,2016,tt9899342,7.6
Flowers,2018,tt8277480,6.0
Flying Guillotine 2,1978,N/A_Not_Found,N/A_Not_Found
Follow Me,2017,tt5926558,7.5
Follow This,2018,tt8560884,5.2
Followers,2020,tt10049610,6.4
Food on the Go,2017,N/A_Not_Found,N/A_Not_Found
Food Wars!: Shokugeki no Soma,2016,N/A_Not_Found,N/A_Not_Found
Food: Delicious Science,2017,tt8542634,7.8
Fools Rush In,1997,tt0119141,6.1
Footprints in the Sand,2011,N/A_Not_Found,N/A_Not_Found
Footprints: The Path of Your Life,2015,N/A_Not_Found,N/A_Not_Found
For Colored Girls,2010,tt1405500,6.2
For Grace,2015,tt4125856,7.3
For Greater Glory,2012,tt1566501,6.6
For Here or to Go?,2015,tt4157510,6.7
For Love or Money,2019,tt7051624,5.6
For the Birds,2018,tt2433118,6.7
For the Broken Hearted,2018,tt9074344,6.1
For the Love of Benji,1977,tt0076044,5.9
For the Love of Spock,2016,tt4572820,7.6
For the Win,2017,tt5740316,5.3
For Your Own Good,2017,tt5790492,5.5
Forbidden Games: The Justin Fashanu Story,2017,tt6538102,6.6
Forbidden Planet,1956,tt0049223,7.5
Force 2,2016,tt5156746,6.2
Forces of Nature,2016,tt5907228,8.1
Forensic,2020,tt10187680,6.8
Forensic Files,2011,N/A_Not_Found,N/A_Not_Found
Forest of Piano,2019,N/A_Not_Found,N/A_Not_Found
Forever Chape,2018,tt8788634,7.4
Forever Pure,2016,tt5529828,7.4
Forged in Fire,2019,N/A_Not_Found,N/A_Not_Found
Forget Me Not,2011,tt1975161,N/A
Forgive Us Our Debts,2018,tt6679412,6.2
Forgotten,2017,tt7057496,7.4
Forks Over Knives,2011,tt1567233,7.7
Formula 1: Drive to Survive,2021,N/A_Not_Found,N/A_Not_Found
Fortune Feimster: Sweet & Salty,2020,tt11488724,6.9
Four Christmases,2008,tt0369436,5.7
Four Seasons in Havana,2016,tt6164872,7.4
Four Sisters and a Wedding,2013,tt3008034,7.2
Four Sisters Before the Wedding,2020,tt11867144,6.0
Four Weddings and a Funeral,1994,tt0109831,7.1
Fracture,2007,tt0488120,7.2
Fractured,2019,tt4332232,6.5
Framing John DeLorean,2019,tt6256978,6.5
Franca: Chaos and Creation,2016,tt5317286,7.5
Frances Ha,2012,tt2347569,7.4
Francesco De Carlo: Cose di Questo Mondo,2019,tt10087952,6.4
Franco Escamilla: Bienvenido al mundo,2019,tt10128616,7.1
Franco Escamilla: Por la anécdota,2018,tt8467922,7.0
Frank & Lola,2016,tt1290138,5.9
Frank and Cindy,2007,tt0986354,6.9
Frank Elstner: Just One Last Question,2020,N/A_Not_Found,N/A_Not_Found
"Frankenstein’s Monster’s Monster, Frankenstein",2019,tt10516390,5.8
Frat Star,2017,tt5117484,3.5
Freak Show,2018,N/A_Not_Found,N/A_Not_Found
Freaks,2018,tt8781414,6.7
Freaks – You're One of Us,2020,tt12875782,5.4
Fred Armisen: Standup For Drummers,2018,tt7924798,5.8
Fred Claus,2007,tt0486583,5.7
Free Fire,2016,tt4158096,6.3
Free Rein,2019,N/A_Not_Found,N/A_Not_Found
Free Rein: The Twelve Neighs of Christmas,2018,tt9315418,5.7
Free Rein: Valentine's Day,2019,N/A_Not_Found,N/A_Not_Found
Free State of Jones,2016,tt1124037,6.9
Free to Play,2014,tt3203290,7.6
Free Willy,1993,tt0106965,6.1
Freedom at Midnight,2018,N/A_Not_Found,N/A_Not_Found
Freedom Writers,2007,tt0463998,7.6
Freedomland,2006,tt0349467,5.2
Freej Al Taibeen,2018,tt10078900,N/A
Freeway: Crack in the System,2015,tt3548962,7.0
Freezer's Campaign,2016,N/A_Not_Found,N/A_Not_Found
French Dirty,2015,tt3675504,5.0
French Toast,2015,tt5000984,5.7
Frequency,2016,tt5531470,7.4
"Fresh, Fried & Crispy",2021,N/A_Not_Found,N/A_Not_Found
Freshman Year,2019,tt8737124,5.2
Freud,2020,tt8667956,6.5
Friday Night Lights,2010,N/A_Not_Found,N/A_Not_Found
Friday Night Tykes,2017,N/A_Not_Found,N/A_Not_Found
Friday the 13th,2009,tt0758746,5.5
Friend Request,2016,tt3352390,5.2
Friends from College,2019,N/A_Not_Found,N/A_Not_Found
Friendsgiving,2020,tt8431078,4.5
Friendship,1980,N/A_Not_Found,N/A_Not_Found
From A to B,2014,tt1666287,5.8
From Dusk Till Dawn,2016,tt6030702,N/A
From Japan to Egypt,2017,tt8898648,5.5
From One Second to the Next,2013,tt3108864,7.3
From Paris with Love,2010,tt1179034,6.4
From Stress to Happiness,2020,tt13079086,6.3
Froning: The Fittest Man in History,2016,N/A_Not_Found,N/A_Not_Found
Fronteras,2018,tt7308310,3.8
Frontier,2018,tt7776936,5.3
Frozen Planet,2011,tt2092588,9.0
Frozen Planet: On Thin Ice,2011,tt6999070,6.5
Frozen Planet: The Epic Journey,2011,N/A_Not_Found,N/A_Not_Found
Frozen River,2008,tt0978759,7.1
Fruitvale Station,2013,tt2334649,7.5
FTA,1972,tt0068562,6.4
Fuga,2006,tt0442236,6.3
Fugitiva,2018,tt7158972,5.6
Fukrey,2013,tt2806788,6.9
Fukrey Boyzzz,2020,tt13502066,N/A
Fukrey Boyzzz: Space Mein Fukrapanti,2020,tt13502066,N/A
